8140 = U+3000 // 　
ad = U+ff6d // ｭ
ae = U+ff6e // ｮ
af = U+ff6f // ｯ
b0 = U+ff70 // ｰ
b1 = U+ff71 // ｱ
b2 = U+ff72 // ｲ
b3 = U+ff73 // ｳ
b4 = U+ff74 // ｴ
b5 = U+ff75 // ｵ
b6 = U+ff76 // ｶ
b7 = U+ff77 // ｷ
b8 = U+ff78 // ｸ
b9 = U+ff79 // ｹ
ba = U+ff7a // ｺ
bb = U+ff7b // ｻ
bc = U+ff7c // ｼ
bd = U+ff7d // ｽ
be = U+ff7e // ｾ
bf = U+ff7f // ｿ
c0 = U+ff80 // ﾀ
c1 = U+ff81 // ﾁ
c2 = U+ff82 // ﾂ
c3 = U+ff83 // ﾃ
c4 = U+ff84 // ﾄ
c5 = U+ff85 // ﾅ
c6 = U+ff86 // ﾆ
c7 = U+ff87 // ﾇ
c8 = U+ff88 // ﾈ
c9 = U+ff89 // ﾉ
ca = U+ff8a // ﾊ
cb = U+ff8b // ﾋ
cc = U+ff8c // ﾌ
cd = U+ff8d // ﾍ
ce = U+ff8e // ﾎ
cf = U+ff8f // ﾏ
d0 = U+ff90 // ﾐ
d1 = U+ff91 // ﾑ
d2 = U+ff92 // ﾒ
d3 = U+ff93 // ﾓ
d4 = U+ff94 // ﾔ
d5 = U+ff95 // ﾕ
d6 = U+ff96 // ﾖ
d7 = U+ff97 // ﾗ
d8 = U+ff98 // ﾘ
d9 = U+ff99 // ﾙ
da = U+ff9a // ﾚ
db = U+ff9b // ﾛ
dc = U+ff9c // ﾜ
dd = U+ff9d // ﾝ
de = U+ff9e // ﾞ
df = U+ff9f // ﾟ
e040 = U+6f3e // 漾
e041 = U+6f13 // 漓
e042 = U+6ef7 // 滷
e043 = U+6f86 // 澆
e044 = U+6f7a // 潺
e045 = U+6f78 // 潸
e046 = U+6f81 // 澁
e047 = U+6f80 // 澀
e048 = U+6f6f // 潯
e049 = U+6f5b // 潛
e04a = U+6ff3 // 濳
e04b = U+6f6d // 潭
e04c = U+6f82 // 澂
e04d = U+6f7c // 潼
e04e = U+6f58 // 潘
e04f = U+6f8e // 澎
e050 = U+6f91 // 澑
e051 = U+6fc2 // 濂
e052 = U+6f66 // 潦
e053 = U+6fb3 // 澳
e054 = U+6fa3 // 澣
e055 = U+6fa1 // 澡
e056 = U+6fa4 // 澤
e057 = U+6fb9 // 澹
e058 = U+6fc6 // 濆
e059 = U+6faa // 澪
e05a = U+6fdf // 濟
e05b = U+6fd5 // 濕
e05d = U+6fd4 // 濔
e05e = U+6fd8 // 濘
e05f = U+6ff1 // 濱
e061 = U+6fdb // 濛
e062 = U+7009 // 瀉
e063 = U+700b // 瀋
e064 = U+6ffa // 濺
e065 = U+7011 // 瀑
e066 = U+7001 // 瀁
e067 = U+700f // 瀏
e068 = U+6ffe // 濾
e069 = U+701b // 瀛
e06a = U+701a // 瀚
e06b = U+6f74 // 潴
e06c = U+701d // 瀝
e06d = U+7018 // 瀘
e06e = U+701f // 瀟
e06f = U+7030 // 瀰
e070 = U+703e // 瀾
e071 = U+7032 // 瀲
e072 = U+7051 // 灑
e073 = U+7063 // 灣
e074 = U+7099 // 炙
e075 = U+7092 // 炒
e076 = U+70af // 炯
e077 = U+70f1 // 烱
e078 = U+70ac // 炬
e079 = U+70b8 // 炸
e07a = U+70b3 // 炳
e07b = U+70ae // 炮
e07c = U+70df // 烟
e07d = U+70cb // 烋
e07e = U+70dd // 烝
e080 = U+70d9 // 烙
e081 = U+7109 // 焉
e082 = U+70fd // 烽
e083 = U+711c // 焜
e084 = U+7119 // 焙
e085 = U+7165 // 煥
e086 = U+7155 // 煕
e087 = U+7188 // 熈
e088 = U+7166 // 煦
e089 = U+7162 // 煢
e08a = U+714c // 煌
e08b = U+7156 // 煖
e08c = U+716c // 煬
e08d = U+718f // 熏
e08e = U+71fb // 燻
e08f = U+7184 // 熄
e090 = U+7195 // 熕
e091 = U+71a8 // 熨
e092 = U+71ac // 熬
e093 = U+71d7 // 燗
e094 = U+71b9 // 熹
e095 = U+71be // 熾
e096 = U+71d2 // 燒
e097 = U+71c9 // 燉
e098 = U+71d4 // 燔
e099 = U+71ce // 燎
e09a = U+71e0 // 燠
e09b = U+71ec // 燬
e09c = U+71e7 // 燧
e09d = U+71f5 // 燵
e09e = U+71fc // 燼
e09f = U+71f9 // 燹
e0a0 = U+71ff // 燿
e0a1 = U+720d // 爍
e0a2 = U+7210 // 爐
e0a3 = U+721b // 爛
e0a4 = U+7228 // 爨
e0a5 = U+722d // 爭
e0a6 = U+722c // 爬
e0a7 = U+7230 // 爰
e0a8 = U+7232 // 爲
e0a9 = U+723b // 爻
e0aa = U+723c // 爼
e0ab = U+723f // 爿
e0ac = U+7240 // 牀
e0ad = U+7246 // 牆
e0ae = U+724b // 牋
e0af = U+7258 // 牘
e0b0 = U+7274 // 牴
e0b1 = U+727e // 牾
e0b2 = U+7282 // 犂
e0b3 = U+7281 // 犁
e0b4 = U+7287 // 犇
e0b5 = U+7292 // 犒
e0b6 = U+7296 // 犖
e0b7 = U+72a2 // 犢
e0b8 = U+72a7 // 犧
e0b9 = U+72b9 // 犹
e0ba = U+72b2 // 犲
e0bb = U+72c3 // 狃
e0bc = U+72c6 // 狆
e0bd = U+72c4 // 狄
e0be = U+72ce // 狎
e0bf = U+72d2 // 狒
e0c0 = U+72e2 // 狢
e0c1 = U+72e0 // 狠
e0c2 = U+72e1 // 狡
e0c3 = U+72f9 // 狹
e0c4 = U+72f7 // 狷
e0c5 = U+500f // 倏
e0c6 = U+7317 // 猗
e0c7 = U+730a // 猊
e0c8 = U+731c // 猜
e0c9 = U+7316 // 猖
e0ca = U+731d // 猝
e0cb = U+7334 // 猴
e0cc = U+732f // 猯
e0cd = U+7329 // 猩
e0ce = U+7325 // 猥
e0cf = U+733e // 猾
e0d0 = U+734e // 獎
e0d1 = U+734f // 獏
e0d2 = U+9ed8 // 默
e0d3 = U+7357 // 獗
e0d4 = U+736a // 獪
e0d5 = U+7368 // 獨
e0d6 = U+7370 // 獰
e0d7 = U+7378 // 獸
e0d8 = U+7375 // 獵
e0d9 = U+737b // 獻
e0da = U+737a // 獺
e0db = U+73c8 // 珈
e0dc = U+73b3 // 玳
e0dd = U+73ce // 珎
e0de = U+73bb // 玻
e0df = U+73c0 // 珀
e0e0 = U+73e5 // 珥
e0e1 = U+73ee // 珮
e0e2 = U+73de // 珞
e0e3 = U+74a2 // 璢
e0e4 = U+7405 // 琅
e0e5 = U+746f // 瑯
e0e6 = U+7425 // 琥
e0e7 = U+73f8 // 珸
e0e8 = U+7432 // 琲
e0e9 = U+743a // 琺
e0ea = U+7455 // 瑕
e0eb = U+743f // 琿
e0ec = U+745f // 瑟
e0ed = U+7459 // 瑙
e0ee = U+7441 // 瑁
e0ef = U+745c // 瑜
e0f0 = U+7469 // 瑩
e0f1 = U+7470 // 瑰
e0f2 = U+7463 // 瑣
e0f3 = U+746a // 瑪
e0f4 = U+7476 // 瑶
e0f5 = U+747e // 瑾
e0f6 = U+748b // 璋
e0f7 = U+749e // 璞
e0f8 = U+74a7 // 璧
e0f9 = U+74ca // 瓊
e0fa = U+74cf // 瓏
e0fb = U+74d4 // 瓔
e0fc = U+73f1 // 珱
e140 = U+74e0 // 瓠
e141 = U+74e3 // 瓣
e142 = U+74e7 // 瓧
e143 = U+74e9 // 瓩
e144 = U+74ee // 瓮
e145 = U+74f2 // 瓲
e146 = U+74f0 // 瓰
e147 = U+74f1 // 瓱
e148 = U+74f8 // 瓸
e149 = U+74f7 // 瓷
e14a = U+7504 // 甄
e14b = U+7503 // 甃
e14c = U+7505 // 甅
e14d = U+750c // 甌
e14e = U+750e // 甎
e14f = U+750d // 甍
e150 = U+7515 // 甕
e151 = U+7513 // 甓
e152 = U+751e // 甞
e153 = U+7526 // 甦
e154 = U+752c // 甬
e155 = U+753c // 甼
e156 = U+7544 // 畄
e157 = U+754d // 畍
e158 = U+754a // 畊
e159 = U+7549 // 畉
e15a = U+755b // 畛
e15b = U+7546 // 畆
e15d = U+7569 // 畩
e15e = U+7564 // 畤
e15f = U+7567 // 畧
e161 = U+756d // 畭
e162 = U+7578 // 畸
e163 = U+7576 // 當
e164 = U+7586 // 疆
e165 = U+7587 // 疇
e166 = U+7574 // 畴
e167 = U+758a // 疊
e168 = U+7589 // 疉
e169 = U+7582 // 疂
e16a = U+7594 // 疔
e16b = U+759a // 疚
e16c = U+759d // 疝
e16d = U+75a5 // 疥
e16e = U+75a3 // 疣
e16f = U+75c2 // 痂
e170 = U+75b3 // 疳
e171 = U+75c3 // 痃
e172 = U+75b5 // 疵
e173 = U+75bd // 疽
e174 = U+75b8 // 疸
e175 = U+75bc // 疼
e176 = U+75b1 // 疱
e177 = U+75cd // 痍
e178 = U+75ca // 痊
e179 = U+75d2 // 痒
e17a = U+75d9 // 痙
e17b = U+75e3 // 痣
e17c = U+75de // 痞
e17d = U+75fe // 痾
e17e = U+75ff // 痿
e180 = U+75fc // 痼
e181 = U+7601 // 瘁
e182 = U+75f0 // 痰
e183 = U+75fa // 痺
e184 = U+75f2 // 痲
e185 = U+75f3 // 痳
e186 = U+760b // 瘋
e187 = U+760d // 瘍
e188 = U+7609 // 瘉
e189 = U+761f // 瘟
e18a = U+7627 // 瘧
e18b = U+7620 // 瘠
e18c = U+7621 // 瘡
e18d = U+7622 // 瘢
e18e = U+7624 // 瘤
e18f = U+7634 // 瘴
e190 = U+7630 // 瘰
e191 = U+763b // 瘻
e192 = U+7647 // 癇
e193 = U+7648 // 癈
e194 = U+7646 // 癆
e195 = U+765c // 癜
e196 = U+7658 // 癘
e197 = U+7661 // 癡
e198 = U+7662 // 癢
e199 = U+7668 // 癨
e19a = U+7669 // 癩
e19b = U+766a // 癪
e19c = U+7667 // 癧
e19d = U+766c // 癬
e19e = U+7670 // 癰
e19f = U+7672 // 癲
e1a0 = U+7676 // 癶
e1a1 = U+7678 // 癸
e1a2 = U+767c // 發
e1a3 = U+7680 // 皀
e1a4 = U+7683 // 皃
e1a5 = U+7688 // 皈
e1a6 = U+768b // 皋
e1a7 = U+768e // 皎
e1a8 = U+7696 // 皖
e1a9 = U+7693 // 皓
e1aa = U+7699 // 皙
e1ab = U+769a // 皚
e1ac = U+76b0 // 皰
e1ad = U+76b4 // 皴
e1ae = U+76b8 // 皸
e1af = U+76b9 // 皹
e1b0 = U+76ba // 皺
e1b1 = U+76c2 // 盂
e1b2 = U+76cd // 盍
e1b3 = U+76d6 // 盖
e1b4 = U+76d2 // 盒
e1b5 = U+76de // 盞
e1b6 = U+76e1 // 盡
e1b7 = U+76e5 // 盥
e1b8 = U+76e7 // 盧
e1b9 = U+76ea // 盪
e1ba = U+862f // 蘯
e1bb = U+76fb // 盻
e1bc = U+7708 // 眈
e1bd = U+7707 // 眇
e1be = U+7704 // 眄
e1bf = U+7729 // 眩
e1c0 = U+7724 // 眤
e1c1 = U+771e // 眞
e1c2 = U+7725 // 眥
e1c3 = U+7726 // 眦
e1c4 = U+771b // 眛
e1c5 = U+7737 // 眷
e1c6 = U+7738 // 眸
e1c7 = U+7747 // 睇
e1c8 = U+775a // 睚
e1c9 = U+7768 // 睨
e1ca = U+776b // 睫
e1cb = U+775b // 睛
e1cc = U+7765 // 睥
e1cd = U+777f // 睿
e1ce = U+777e // 睾
e1cf = U+7779 // 睹
e1d0 = U+778e // 瞎
e1d1 = U+778b // 瞋
e1d2 = U+7791 // 瞑
e1d3 = U+77a0 // 瞠
e1d4 = U+779e // 瞞
e1d5 = U+77b0 // 瞰
e1d6 = U+77b6 // 瞶
e1d7 = U+77b9 // 瞹
e1d8 = U+77bf // 瞿
e1d9 = U+77bc // 瞼
e1da = U+77bd // 瞽
e1db = U+77bb // 瞻
e1dc = U+77c7 // 矇
e1dd = U+77cd // 矍
e1de = U+77d7 // 矗
e1df = U+77da // 矚
e1e0 = U+77dc // 矜
e1e1 = U+77e3 // 矣
e1e2 = U+77ee // 矮
e1e3 = U+77fc // 矼
e1e4 = U+780c // 砌
e1e5 = U+7812 // 砒
e1e6 = U+7926 // 礦
e1e7 = U+7820 // 砠
e1e8 = U+792a // 礪
e1e9 = U+7845 // 硅
e1ea = U+788e // 碎
e1eb = U+7874 // 硴
e1ec = U+7886 // 碆
e1ed = U+787c // 硼
e1ee = U+789a // 碚
e1ef = U+788c // 碌
e1f0 = U+78a3 // 碣
e1f1 = U+78b5 // 碵
e1f2 = U+78aa // 碪
e1f3 = U+78af // 碯
e1f4 = U+78d1 // 磑
e1f5 = U+78c6 // 磆
e1f6 = U+78cb // 磋
e1f7 = U+78d4 // 磔
e1f8 = U+78be // 碾
e1f9 = U+78bc // 碼
e1fa = U+78c5 // 磅
e1fb = U+78ca // 磊
e1fc = U+78ec // 磬
e240 = U+78e7 // 磧
e241 = U+78da // 磚
e242 = U+78fd // 磽
e243 = U+78f4 // 磴
e244 = U+7907 // 礇
e245 = U+7912 // 礒
e246 = U+7911 // 礑
e247 = U+7919 // 礙
e248 = U+792c // 礬
e249 = U+792b // 礫
e24a = U+7940 // 祀
e24b = U+7960 // 祠
e24c = U+7957 // 祗
e24d = U+795f // 祟
e24e = U+795a // 祚
e24f = U+7955 // 祕
e250 = U+7953 // 祓
e251 = U+797a // 祺
e252 = U+797f // 祿
e253 = U+798a // 禊
e254 = U+799d // 禝
e255 = U+79a7 // 禧
e256 = U+9f4b // 齋
e257 = U+79aa // 禪
e258 = U+79ae // 禮
e259 = U+79b3 // 禳
e25a = U+79b9 // 禹
e25b = U+79ba // 禺
e25d = U+79d5 // 秕
e25e = U+79e7 // 秧
e25f = U+79ec // 秬
e261 = U+79e3 // 秣
e262 = U+7a08 // 稈
e263 = U+7a0d // 稍
e264 = U+7a18 // 稘
e265 = U+7a19 // 稙
e266 = U+7a20 // 稠
e267 = U+7a1f // 稟
e268 = U+7980 // 禀
e269 = U+7a31 // 稱
e26a = U+7a3b // 稻
e26b = U+7a3e // 稾
e26c = U+7a37 // 稷
e26d = U+7a43 // 穃
e26e = U+7a57 // 穗
e26f = U+7a49 // 穉
e270 = U+7a61 // 穡
e271 = U+7a62 // 穢
e272 = U+7a69 // 穩
e273 = U+9f9d // 龝
e274 = U+7a70 // 穰
e275 = U+7a79 // 穹
e276 = U+7a7d // 穽
e277 = U+7a88 // 窈
e278 = U+7a97 // 窗
e279 = U+7a95 // 窕
e27a = U+7a98 // 窘
e27b = U+7a96 // 窖
e27c = U+7aa9 // 窩
e27d = U+7ac8 // 竈
e27e = U+7ab0 // 窰
e280 = U+7ab6 // 窶
e281 = U+7ac5 // 竅
e282 = U+7ac4 // 竄
e283 = U+7abf // 窿
e284 = U+9083 // 邃
e285 = U+7ac7 // 竇
e286 = U+7aca // 竊
e287 = U+7acd // 竍
e288 = U+7acf // 竏
e289 = U+7ad5 // 竕
e28a = U+7ad3 // 竓
e28b = U+7ad9 // 站
e28c = U+7ada // 竚
e28d = U+7add // 竝
e28e = U+7ae1 // 竡
e28f = U+7ae2 // 竢
e290 = U+7ae6 // 竦
e291 = U+7aed // 竭
e292 = U+7af0 // 竰
e293 = U+7b02 // 笂
e294 = U+7b0f // 笏
e295 = U+7b0a // 笊
e296 = U+7b06 // 笆
e297 = U+7b33 // 笳
e298 = U+7b18 // 笘
e299 = U+7b19 // 笙
e29a = U+7b1e // 笞
e29b = U+7b35 // 笵
e29c = U+7b28 // 笨
e29d = U+7b36 // 笶
e29e = U+7b50 // 筐
e29f = U+7b7a // 筺
e2a0 = U+7b04 // 笄
e2a1 = U+7b4d // 筍
e2a2 = U+7b0b // 笋
e2a3 = U+7b4c // 筌
e2a4 = U+7b45 // 筅
e2a5 = U+7b75 // 筵
e2a6 = U+7b65 // 筥
e2a7 = U+7b74 // 筴
e2a8 = U+7b67 // 筧
e2a9 = U+7b70 // 筰
e2aa = U+7b71 // 筱
e2ab = U+7b6c // 筬
e2ac = U+7b6e // 筮
e2ad = U+7b9d // 箝
e2ae = U+7b98 // 箘
e2af = U+7b9f // 箟
e2b0 = U+7b8d // 箍
e2b1 = U+7b9c // 箜
e2b2 = U+7b9a // 箚
e2b3 = U+7b8b // 箋
e2b4 = U+7b92 // 箒
e2b5 = U+7b8f // 箏
e2b6 = U+7b5d // 筝
e2b7 = U+7b99 // 箙
e2b8 = U+7bcb // 篋
e2b9 = U+7bc1 // 篁
e2ba = U+7bcc // 篌
e2bb = U+7bcf // 篏
e2bc = U+7bb4 // 箴
e2bd = U+7bc6 // 篆
e2be = U+7bdd // 篝
e2bf = U+7be9 // 篩
e2c0 = U+7c11 // 簑
e2c1 = U+7c14 // 簔
e2c2 = U+7be6 // 篦
e2c3 = U+7be5 // 篥
e2c4 = U+7c60 // 籠
e2c5 = U+7c00 // 簀
e2c6 = U+7c07 // 簇
e2c7 = U+7c13 // 簓
e2c8 = U+7bf3 // 篳
e2c9 = U+7bf7 // 篷
e2ca = U+7c17 // 簗
e2cb = U+7c0d // 簍
e2cc = U+7bf6 // 篶
e2cd = U+7c23 // 簣
e2ce = U+7c27 // 簧
e2cf = U+7c2a // 簪
e2d0 = U+7c1f // 簟
e2d1 = U+7c37 // 簷
e2d2 = U+7c2b // 簫
e2d3 = U+7c3d // 簽
e2d4 = U+7c4c // 籌
e2d5 = U+7c43 // 籃
e2d6 = U+7c54 // 籔
e2d7 = U+7c4f // 籏
e2d8 = U+7c40 // 籀
e2d9 = U+7c50 // 籐
e2da = U+7c58 // 籘
e2db = U+7c5f // 籟
e2dc = U+7c64 // 籤
e2dd = U+7c56 // 籖
e2de = U+7c65 // 籥
e2df = U+7c6c // 籬
e2e0 = U+7c75 // 籵
e2e1 = U+7c83 // 粃
e2e2 = U+7c90 // 粐
e2e3 = U+7ca4 // 粤
e2e4 = U+7cad // 粭
e2e5 = U+7ca2 // 粢
e2e6 = U+7cab // 粫
e2e7 = U+7ca1 // 粡
e2e8 = U+7ca8 // 粨
e2e9 = U+7cb3 // 粳
e2ea = U+7cb2 // 粲
e2eb = U+7cb1 // 粱
e2ec = U+7cae // 粮
e2ed = U+7cb9 // 粹
e2ee = U+7cbd // 粽
e2ef = U+7cc0 // 糀
e2f0 = U+7cc5 // 糅
e2f1 = U+7cc2 // 糂
e2f2 = U+7cd8 // 糘
e2f3 = U+7cd2 // 糒
e2f4 = U+7cdc // 糜
e2f5 = U+7ce2 // 糢
e2f6 = U+9b3b // 鬻
e2f7 = U+7cef // 糯
e2f8 = U+7cf2 // 糲
e2f9 = U+7cf4 // 糴
e2fa = U+7cf6 // 糶
e2fb = U+7cfa // 糺
e2fc = U+7d06 // 紆
e340 = U+7d02 // 紂
e341 = U+7d1c // 紜
e342 = U+7d15 // 紕
e343 = U+7d0a // 紊
e344 = U+7d45 // 絅
e345 = U+7d4b // 絋
e346 = U+7d2e // 紮
e347 = U+7d32 // 紲
e348 = U+7d3f // 紿
e349 = U+7d35 // 紵
e34a = U+7d46 // 絆
e34b = U+7d73 // 絳
e34c = U+7d56 // 絖
e34d = U+7d4e // 絎
e34e = U+7d72 // 絲
e34f = U+7d68 // 絨
e350 = U+7d6e // 絮
e351 = U+7d4f // 絏
e352 = U+7d63 // 絣
e353 = U+7d93 // 經
e354 = U+7d89 // 綉
e355 = U+7d5b // 絛
e356 = U+7d8f // 綏
e357 = U+7d7d // 絽
e358 = U+7d9b // 綛
e359 = U+7dba // 綺
e35a = U+7dae // 綮
e35b = U+7da3 // 綣
e35d = U+7dc7 // 緇
e35e = U+7dbd // 綽
e35f = U+7dab // 綫
e361 = U+7da2 // 綢
e362 = U+7daf // 綯
e363 = U+7ddc // 緜
e364 = U+7db8 // 綸
e365 = U+7d9f // 綟
e366 = U+7db0 // 綰
e367 = U+7dd8 // 緘
e368 = U+7ddd // 緝
e369 = U+7de4 // 緤
e36a = U+7dde // 緞
e36b = U+7dfb // 緻
e36c = U+7df2 // 緲
e36d = U+7de1 // 緡
e36e = U+7e05 // 縅
e36f = U+7e0a // 縊
e370 = U+7e23 // 縣
e371 = U+7e21 // 縡
e372 = U+7e12 // 縒
e373 = U+7e31 // 縱
e374 = U+7e1f // 縟
e375 = U+7e09 // 縉
e376 = U+7e0b // 縋
e377 = U+7e22 // 縢
e378 = U+7e46 // 繆
e379 = U+7e66 // 繦
e37a = U+7e3b // 縻
e37b = U+7e35 // 縵
e37c = U+7e39 // 縹
e37d = U+7e43 // 繃
e37e = U+7e37 // 縷
e380 = U+7e32 // 縲
e381 = U+7e3a // 縺
e382 = U+7e67 // 繧
e383 = U+7e5d // 繝
e384 = U+7e56 // 繖
e385 = U+7e5e // 繞
e386 = U+7e59 // 繙
e387 = U+7e5a // 繚
e388 = U+7e79 // 繹
e389 = U+7e6a // 繪
e38a = U+7e69 // 繩
e38b = U+7e7c // 繼
e38c = U+7e7b // 繻
e38d = U+7e83 // 纃
e38e = U+7dd5 // 緕
e38f = U+7e7d // 繽
e390 = U+8fae // 辮
e391 = U+7e7f // 繿
e392 = U+7e88 // 纈
e393 = U+7e89 // 纉
e394 = U+7e8c // 續
e395 = U+7e92 // 纒
e396 = U+7e90 // 纐
e397 = U+7e93 // 纓
e398 = U+7e94 // 纔
e399 = U+7e96 // 纖
e39a = U+7e8e // 纎
e39b = U+7e9b // 纛
e39c = U+7e9c // 纜
e39d = U+7f38 // 缸
e39e = U+7f3a // 缺
e39f = U+7f45 // 罅
e3a0 = U+7f4c // 罌
e3a1 = U+7f4d // 罍
e3a2 = U+7f4e // 罎
e3a3 = U+7f50 // 罐
e3a4 = U+7f51 // 网
e3a5 = U+7f55 // 罕
e3a6 = U+7f54 // 罔
e3a7 = U+7f58 // 罘
e3a8 = U+7f5f // 罟
e3a9 = U+7f60 // 罠
e3aa = U+7f68 // 罨
e3ab = U+7f69 // 罩
e3ac = U+7f67 // 罧
e3ad = U+7f78 // 罸
e3ae = U+7f82 // 羂
e3af = U+7f86 // 羆
e3b0 = U+7f83 // 羃
e3b1 = U+7f88 // 羈
e3b2 = U+7f87 // 羇
e3b3 = U+7f8c // 羌
e3b4 = U+7f94 // 羔
e3b5 = U+7f9e // 羞
e3b6 = U+7f9d // 羝
e3b7 = U+7f9a // 羚
e3b8 = U+7fa3 // 羣
e3b9 = U+7faf // 羯
e3ba = U+7fb2 // 羲
e3bb = U+7fb9 // 羹
e3bc = U+7fae // 羮
e3bd = U+7fb6 // 羶
e3be = U+7fb8 // 羸
e3bf = U+8b71 // 譱
e3c0 = U+7fc5 // 翅
e3c1 = U+7fc6 // 翆
e3c2 = U+7fca // 翊
e3c3 = U+7fd5 // 翕
e3c4 = U+7fd4 // 翔
e3c5 = U+7fe1 // 翡
e3c6 = U+7fe6 // 翦
e3c7 = U+7fe9 // 翩
e3c8 = U+7ff3 // 翳
e3c9 = U+7ff9 // 翹
e3ca = U+98dc // 飜
e3cb = U+8006 // 耆
e3cc = U+8004 // 耄
e3cd = U+800b // 耋
e3ce = U+8012 // 耒
e3cf = U+8018 // 耘
e3d0 = U+8019 // 耙
e3d1 = U+801c // 耜
e3d2 = U+8021 // 耡
e3d3 = U+8028 // 耨
e3d4 = U+803f // 耿
e3d5 = U+803b // 耻
e3d6 = U+804a // 聊
e3d7 = U+8046 // 聆
e3d8 = U+8052 // 聒
e3d9 = U+8058 // 聘
e3da = U+805a // 聚
e3db = U+805f // 聟
e3dc = U+8062 // 聢
e3dd = U+8068 // 聨
e3de = U+8073 // 聳
e3df = U+8072 // 聲
e3e0 = U+8070 // 聰
e3e1 = U+8076 // 聶
e3e2 = U+8079 // 聹
e3e3 = U+807d // 聽
e3e4 = U+807f // 聿
e3e5 = U+8084 // 肄
e3e6 = U+8086 // 肆
e3e7 = U+8085 // 肅
e3e8 = U+809b // 肛
e3e9 = U+8093 // 肓
e3ea = U+809a // 肚
e3eb = U+80ad // 肭
e3ec = U+5190 // 冐
e3ed = U+80ac // 肬
e3ee = U+80db // 胛
e3ef = U+80e5 // 胥
e3f0 = U+80d9 // 胙
e3f1 = U+80dd // 胝
e3f2 = U+80c4 // 胄
e3f3 = U+80da // 胚
e3f4 = U+80d6 // 胖
e3f5 = U+8109 // 脉
e3f6 = U+80ef // 胯
e3f7 = U+80f1 // 胱
e3f8 = U+811b // 脛
e3f9 = U+8129 // 脩
e3fa = U+8123 // 脣
e3fb = U+812f // 脯
e3fc = U+814b // 腋
e440 = U+968b // 隋
e441 = U+8146 // 腆
e442 = U+813e // 脾
e443 = U+8153 // 腓
e444 = U+8151 // 腑
e445 = U+80fc // 胼
e446 = U+8171 // 腱
e447 = U+816e // 腮
e448 = U+8165 // 腥
e449 = U+8166 // 腦
e44a = U+8174 // 腴
e44b = U+8183 // 膃
e44c = U+8188 // 膈
e44d = U+818a // 膊
e44e = U+8180 // 膀
e44f = U+8182 // 膂
e450 = U+81a0 // 膠
e451 = U+8195 // 膕
e452 = U+81a4 // 膤
e453 = U+81a3 // 膣
e454 = U+815f // 腟
e455 = U+8193 // 膓
e456 = U+81a9 // 膩
e457 = U+81b0 // 膰
e458 = U+81b5 // 膵
e459 = U+81be // 膾
e45a = U+81b8 // 膸
e45b = U+81bd // 膽
e45d = U+81c2 // 臂
e45e = U+81ba // 膺
e45f = U+81c9 // 臉
e461 = U+81d1 // 臑
e462 = U+81d9 // 臙
e463 = U+81d8 // 臘
e464 = U+81c8 // 臈
e465 = U+81da // 臚
e466 = U+81df // 臟
e467 = U+81e0 // 臠
e468 = U+81e7 // 臧
e469 = U+81fa // 臺
e46a = U+81fb // 臻
e46b = U+81fe // 臾
e46c = U+8201 // 舁
e46d = U+8202 // 舂
e46e = U+8205 // 舅
e46f = U+8207 // 與
e470 = U+820a // 舊
e471 = U+820d // 舍
e472 = U+8210 // 舐
e473 = U+8216 // 舖
e474 = U+8229 // 舩
e475 = U+822b // 舫
e476 = U+8238 // 舸
e477 = U+8233 // 舳
e478 = U+8240 // 艀
e479 = U+8259 // 艙
e47a = U+8258 // 艘
e47b = U+825d // 艝
e47c = U+825a // 艚
e47d = U+825f // 艟
e47e = U+8264 // 艤
e480 = U+8262 // 艢
e481 = U+8268 // 艨
e482 = U+826a // 艪
e483 = U+826b // 艫
e484 = U+822e // 舮
e485 = U+8271 // 艱
e486 = U+8277 // 艷
e487 = U+8278 // 艸
e488 = U+827e // 艾
e489 = U+828d // 芍
e48a = U+8292 // 芒
e48b = U+82ab // 芫
e48c = U+829f // 芟
e48d = U+82bb // 芻
e48e = U+82ac // 芬
e48f = U+82e1 // 苡
e490 = U+82e3 // 苣
e491 = U+82df // 苟
e492 = U+82d2 // 苒
e493 = U+82f4 // 苴
e494 = U+82f3 // 苳
e495 = U+82fa // 苺
e496 = U+8393 // 莓
e497 = U+8303 // 范
e498 = U+82fb // 苻
e499 = U+82f9 // 苹
e49a = U+82de // 苞
e49b = U+8306 // 茆
e49c = U+82dc // 苜
e49d = U+8309 // 茉
e49e = U+82d9 // 苙
e49f = U+8335 // 茵
e4a0 = U+8334 // 茴
e4a1 = U+8316 // 茖
e4a2 = U+8332 // 茲
e4a3 = U+8331 // 茱
e4a4 = U+8340 // 荀
e4a5 = U+8339 // 茹
e4a6 = U+8350 // 荐
e4a7 = U+8345 // 荅
e4a8 = U+832f // 茯
e4a9 = U+832b // 茫
e4aa = U+8317 // 茗
e4ab = U+8318 // 茘
e4ac = U+8385 // 莅
e4ad = U+839a // 莚
e4ae = U+83aa // 莪
e4af = U+839f // 莟
e4b0 = U+83a2 // 莢
e4b1 = U+8396 // 莖
e4b2 = U+8323 // 茣
e4b3 = U+838e // 莎
e4b4 = U+8387 // 莇
e4b5 = U+838a // 莊
e4b6 = U+837c // 荼
e4b7 = U+83b5 // 莵
e4b8 = U+8373 // 荳
e4b9 = U+8375 // 荵
e4ba = U+83a0 // 莠
e4bb = U+8389 // 莉
e4bc = U+83a8 // 莨
